Unofficial Election Results
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN / KAMALA D. HARRIS","DEM","0","701278","10650","0","711928","1121804"
"PRESIDENT AND VICE PRESIDENT","DONALD J. TRUMP / MICHAEL R. PENCE","REP","0","349219","22210","0","371429","1121804"
"PRESIDENT AND VICE PRESIDENT","ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST","AI","0","2793","62","0","2855","1121804"
"PRESIDENT AND VICE PRESIDENT","HOWIE HAWKINS / ANGELA NICOLE WALKER","GRN","0","4261","70","0","4331","1121804"
"PRESIDENT AND VICE PRESIDENT","JO JORGENSEN / JEREMY ""SPIKE"" COHEN","LIB","0","11853","237","0","12090","1121804"
"PRESIDENT AND VICE PRESIDENT","GLORIA LA RIVA / SUNIL FREEMAN","PF","0","1569","25","0","1594","1121804"
"PRESIDENT AND VICE PRESIDENT","Brian Carroll / Amar Patel","","0","23","0","0","23","1121804"
"PRESIDENT AND VICE PRESIDENT","Mark Charles / Adrian Wallace","","0","6","0","0","6","1121804"
"PRESIDENT AND VICE PRESIDENT","Joseph Kishore / Norissa Santa Cruz","","0","4","0","0","4","1121804"
"PRESIDENT AND VICE PRESIDENT","Brock Pierce / Karla Ballard","","0","0","0","0","0","1121804"
"PRESIDENT AND VICE PRESIDENT","Jesse Ventura / Cynthia McKinney","","0","7","0","0","7","1121804"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","MIKE LEVIN","DEM","0","121551","2037","0","123588","207725"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","BRIAN MARYOTT","REP","0","73520","4716","0","78236","207725"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","DARRELL ISSA","REP","0","98905","6662","0","105567","220295"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","AMMAR CAMPA-NAJJAR","DEM","0","106117","1737","0","107854","220295"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN M HIDALGO, JR","REP","0","30899","1571","0","32470","121343"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN C. VARGAS","DEM","0","83685","1405","0","85090","121343"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","SCOTT PETERS","DEM","0","188141","2670","0","190811","302047"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","JIM DEBELLO","REP","0","95460","5173","0","100633","302047"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","GEORGETTE GÓMEZ","DEM","0","94657","1748","0","96405","270394"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","SARA JACOBS","DEM","0","135714","3398","0","139112","270394"
"STATE SENATOR 39TH DISTRICT","LINDA BLANKENSHIP","REP","0","107347","5633","0","112980","389076"
"STATE SENATOR 39TH DISTRICT","TONI ATKINS","DEM","0","254198","3576","0","257774","389076"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","RANDY VOEPEL","REP","0","71723","4793","0","76516","145285"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","LIZ ""ELIZABETH"" LAVERTU","DEM","0","60579","1055","0","61634","145285"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","KAREN ""KATE"" SCHWARTZ","DEM","0","58381","864","0","59245","124148"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","MARIE WALDRON","REP","0","56704","2892","0","59596","124148"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","TASHA BOERNER HORVATH","DEM","0","99867","1752","0","101619","175181"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","MELANIE BURKHOLDER","REP","0","62768","4179","0","66947","175181"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","BRIAN MAIENSCHEIN","DEM","0","117943","1703","0","119646","209706"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","JUNE YANG CUTTER","REP","0","76504","4075","0","80579","209706"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","SARAH DAVIS","DEM","0","65382","1395","0","66777","191974"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","CHRIS WARD","DEM","0","93096","1532","0","94628","191974"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","JOHN MOORE","REP","0","46128","2634","0","48762","163625"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","SHIRLEY N. WEBER","DEM","0","104931","1680","0","106611","163625"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","LORENA GONZALEZ","DEM","0","77374","1268","0","78642","111885"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","JOHN J. VOGEL","REP","0","27581","1271","0","28852","111885"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","PAUL STARITA","","0","403497","17629","0","421126","1121804"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","TIM NADER","","0","515616","10414","0","526030","1121804"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","MARK POWELL","","0","77301","2435","0","79736","248743"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","GREGG ROBINSON","","0","120038","2057","0","122095","248743"
