Unofficial Election Results
Contest Name,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","1121804"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","207725"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","220295"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","121343"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","302047"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","270394"
"STATE SENATOR 39TH DISTRICT","389076"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","145285"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","124148"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","175181"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","209706"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","191974"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","163625"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","111885"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1121804"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","248743"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","175961"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","226825"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","23464"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","36695"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","28751"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","23093"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","34489"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","63917"
