Unofficial Election Results Update </br> (Outstanding Ballots to be Processed: 64,000) </br> Next Update 11/9/20 After 5PM
Contest Name,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","1572972"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","283346"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","320719"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","185978"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","403504"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","379425"
"STATE SENATOR 39TH DISTRICT","524744"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","215228"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","175754"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","240557"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","276949"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","260195"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","233049"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","171240"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1572972"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","341792"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","260081"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","325815"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","33920"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","55013"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","36521"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","32166"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","52215"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","87762"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","93566"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT B","505141"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D","505141"
"SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER SEAT NO. 3","214465"
