Unofficial Election Results Update </br> (Outstanding Ballots to be Processed: 64,000) </br> Next Update 11/9/20 After 5PM
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN / KAMALA D. HARRIS","DEM","0","871318","62150","0","933468","1572972"
"PRESIDENT AND VICE PRESIDENT","DONALD J. TRUMP / MICHAEL R. PENCE","REP","0","479265","98308","0","577573","1572972"
"PRESIDENT AND VICE PRESIDENT","ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST","AI","0","4319","609","0","4928","1572972"
"PRESIDENT AND VICE PRESIDENT","HOWIE HAWKINS / ANGELA NICOLE WALKER","GRN","0","6403","641","0","7044","1572972"
"PRESIDENT AND VICE PRESIDENT","JO JORGENSEN / JEREMY ""SPIKE"" COHEN","LIB","0","18112","2219","0","20331","1572972"
"PRESIDENT AND VICE PRESIDENT","GLORIA LA RIVA / SUNIL FREEMAN","PF","0","2356","331","0","2687","1572972"
"PRESIDENT AND VICE PRESIDENT","Brian Carroll / Amar Patel","","0","80","0","0","80","1572972"
"PRESIDENT AND VICE PRESIDENT","Mark Charles / Adrian Wallace","","0","14","0","0","14","1572972"
"PRESIDENT AND VICE PRESIDENT","Joseph Kishore / Norissa Santa Cruz","","0","13","0","0","13","1572972"
"PRESIDENT AND VICE PRESIDENT","Brock Pierce / Karla Ballard","","0","2","0","0","2","1572972"
"PRESIDENT AND VICE PRESIDENT","Jesse Ventura / Cynthia McKinney","","0","13","0","0","13","1572972"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","MIKE LEVIN","DEM","0","145137","9863","0","155000","283346"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","BRIAN MARYOTT","REP","0","98959","19913","0","118872","283346"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","DARRELL ISSA","REP","0","138105","28137","0","166242","320719"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","AMMAR CAMPA-NAJJAR","DEM","0","132646","10516","0","143162","320719"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN M HIDALGO, JR","REP","0","44206","9608","0","53814","185978"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN C. VARGAS","DEM","0","113237","12108","0","125345","185978"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","SCOTT PETERS","DEM","0","225582","12778","0","238360","403504"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","JIM DEBELLO","REP","0","126666","21147","0","147813","403504"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","GEORGETTE GÓMEZ","DEM","0","121014","10335","0","131349","379425"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","SARA JACOBS","DEM","0","174440","18457","0","192897","379425"
"STATE SENATOR 39TH DISTRICT","LINDA BLANKENSHIP","REP","0","142732","23924","0","166656","524744"
"STATE SENATOR 39TH DISTRICT","TONI ATKINS","DEM","0","309772","18131","0","327903","524744"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","RANDY VOEPEL","REP","0","100459","20015","0","120474","215228"
