Unofficial Election Results
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN / KAMALA D. HARRIS","DEM","0","701278","31729","0","733007","1183884"
"PRESIDENT AND VICE PRESIDENT","DONALD J. TRUMP / MICHAEL R. PENCE","REP","0","349219","60961","0","410180","1183884"
"PRESIDENT AND VICE PRESIDENT","ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST","AI","0","2793","249","0","3042","1183884"
"PRESIDENT AND VICE PRESIDENT","HOWIE HAWKINS / ANGELA NICOLE WALKER","GRN","0","4261","303","0","4564","1183884"
"PRESIDENT AND VICE PRESIDENT","JO JORGENSEN / JEREMY ""SPIKE"" COHEN","LIB","0","11853","1061","0","12914","1183884"
"PRESIDENT AND VICE PRESIDENT","GLORIA LA RIVA / SUNIL FREEMAN","PF","0","1569","114","0","1683","1183884"
"PRESIDENT AND VICE PRESIDENT","Brian Carroll / Amar Patel","","0","23","0","0","23","1183884"
"PRESIDENT AND VICE PRESIDENT","Mark Charles / Adrian Wallace","","0","6","0","0","6","1183884"
"PRESIDENT AND VICE PRESIDENT","Joseph Kishore / Norissa Santa Cruz","","0","4","0","0","4","1183884"
"PRESIDENT AND VICE PRESIDENT","Brock Pierce / Karla Ballard","","0","0","0","0","0","1183884"
"PRESIDENT AND VICE PRESIDENT","Jesse Ventura / Cynthia McKinney","","0","7","0","0","7","1183884"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","MIKE LEVIN","DEM","0","121551","6494","0","128045","222048"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","BRIAN MARYOTT","REP","0","73520","13995","0","87515","222048"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","DARRELL ISSA","REP","0","98905","17879","0","116784","235623"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","AMMAR CAMPA-NAJJAR","DEM","0","106117","5295","0","111412","235623"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN M HIDALGO, JR","REP","0","30899","4545","0","35444","127650"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN C. VARGAS","DEM","0","83685","4473","0","88158","127650"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","SCOTT PETERS","DEM","0","188141","7523","0","195664","316078"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","JIM DEBELLO","REP","0","95460","13665","0","109125","316078"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","GEORGETTE GÓMEZ","DEM","0","94657","4895","0","99552","282485"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","SARA JACOBS","DEM","0","135714","9437","0","145151","282485"
"STATE SENATOR 39TH DISTRICT","LINDA BLANKENSHIP","REP","0","107347","14970","0","122317","405774"
"STATE SENATOR 39TH DISTRICT","TONI ATKINS","DEM","0","254198","9724","0","263922","405774"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","RANDY VOEPEL","REP","0","71723","12925","0","84648","156684"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","LIZ ""ELIZABETH"" LAVERTU","DEM","0","60579","3504","0","64083","156684"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","KAREN ""KATE"" SCHWARTZ","DEM","0","58381","2631","0","61012","131403"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","MARIE WALDRON","REP","0","56704","7948","0","64652","131403"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","TASHA BOERNER HORVATH","DEM","0","99867","5246","0","105113","187010"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","MELANIE BURKHOLDER","REP","0","62768","11841","0","74609","187010"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","BRIAN MAIENSCHEIN","DEM","0","117943","4388","0","122331","218793"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","JUNE YANG CUTTER","REP","0","76504","9916","0","86420","218793"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","SARAH DAVIS","DEM","0","65382","4772","0","70154","200997"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","CHRIS WARD","DEM","0","93096","4462","0","97558","200997"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","JOHN MOORE","REP","0","46128","7090","0","53218","172074"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","SHIRLEY N. WEBER","DEM","0","104931","4988","0","109919","172074"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","LORENA GONZALEZ","DEM","0","77374","3799","0","81173","116923"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","JOHN J. VOGEL","REP","0","27581","3436","0","31017","116923"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","PAUL STARITA","","0","403497","47513","0","451010","1183884"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","TIM NADER","","0","515616","29880","0","545496","1183884"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","MARK POWELL","","0","77301","6569","0","83870","259566"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","GREGG ROBINSON","","0","120038","6071","0","126109","259566"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","GUADALUPE GONZALEZ","","0","104795","6376","0","111171","185425"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","TAMARA S. RODRIGUEZ","","0","45266","5510","0","50776","185425"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","PAULETTE DONNELLON","","0","143209","14329","0","157538","242781"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","JULIE SCHORR","","0","15091","1086","0","16177","24801"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","BARTOSZ ""BARTEK"" MURAWSKI","","0","4576","737","0","5313","24801"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","ELENA ADAMS","","0","17448","1711","0","19159","39933"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","JORDAN GASCON","","0","11564","2423","0","13987","39933"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","JACQUELINE SIMON","","0","15823","1087","0","16910","30782"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","CHRIS CHEN","","0","5513","877","0","6390","30782"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","GEORGE H. MCNEIL","","0","11994","629","0","12623","24120"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","ANDREW JAMES REINICKE","","0","5901","985","0","6886","24120"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","CHRISTIAN GARCIA","","0","13986","1464","0","15450","36291"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","NINA DEERFIELD","","0","14408","947","0","15355","36291"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","DAVID W. VINCENT","","0","23966","3482","0","27448","69190"
