Unofficial Election Results
Contest Name,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","1183884"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","222048"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","235623"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","127650"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","316078"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","282485"
"STATE SENATOR 39TH DISTRICT","405774"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","156684"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","131403"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","187010"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","218793"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","200997"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","172074"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","116923"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1183884"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","259566"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","185425"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","242781"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","24801"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","39933"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","30782"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","24120"
