Unofficial Election Results
Contest Name,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","1163470"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","217734"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","229473"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","125430"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","312423"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","278410"
"STATE SENATOR 39TH DISTRICT","401363"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","152234"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","128475"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","183239"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","216601"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","198576"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","169048"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","115297"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1163470"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","257077"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","182182"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","235916"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","24661"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","38761"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","30347"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","23880"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","35529"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","66793"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","69419"
