Unofficial Election Results
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","0"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","NO","","485281","22701","0","507982","1825","0","859087"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","YES","","302471","46446","0","348917","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LARRY A. ELDER","REP","200534","38518","0","239052","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN L. FAULCONER","REP","83209","3510","0","86719","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN PAFFRATH","DEM","54975","4601","0","59576","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN COX","REP","22748","1720","0","24468","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","BRANDON M. ROSS","DEM","22956","686","0","23642","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOEL VENTRESCA","DEM","11530","236","0","11766","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JACQUELINE MCGOWAN","DEM","10771","689","0","11460","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN KILEY","REP","9802","1459","0","11261","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL WATTS","DEM","9966","1201","0","11167","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN R. DRAKE","DEM","5954","1299","0","7253","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ARMANDO ""MANDO"" PEREZ-SERRATO","DEM","4931","1647","0","6578","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CAITLYN JENNER","REP","6011","297","0","6308","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HOLLY L. BAADE","DEM","4321","443","0","4764","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JEFF HEWITT","LIB","3755","475","0","4230","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","PATRICK KILPATRICK","DEM","4043","155","0","4198","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAN KAPELOVITZ","GRN","3100","152","0","3252","1825","0","859087"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ANGELYNE","NPP","1915","124","0","2039","1825","0","859087"
