Unofficial Election Results
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN / KAMALA D. HARRIS","DEM","0","701278","16265","0","717543","1138410"
"PRESIDENT AND VICE PRESIDENT","DONALD J. TRUMP / MICHAEL R. PENCE","REP","0","349219","32698","0","381917","1138410"
"PRESIDENT AND VICE PRESIDENT","ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST","AI","0","2793","96","0","2889","1138410"
"PRESIDENT AND VICE PRESIDENT","HOWIE HAWKINS / ANGELA NICOLE WALKER","GRN","0","4261","125","0","4386","1138410"
"PRESIDENT AND VICE PRESIDENT","JO JORGENSEN / JEREMY ""SPIKE"" COHEN","LIB","0","11853","418","0","12271","1138410"
"PRESIDENT AND VICE PRESIDENT","GLORIA LA RIVA / SUNIL FREEMAN","PF","0","1569","39","0","1608","1138410"
"PRESIDENT AND VICE PRESIDENT","Brian Carroll / Amar Patel","","0","23","0","0","23","1138410"
"PRESIDENT AND VICE PRESIDENT","Mark Charles / Adrian Wallace","","0","6","0","0","6","1138410"
"PRESIDENT AND VICE PRESIDENT","Joseph Kishore / Norissa Santa Cruz","","0","4","0","0","4","1138410"
"PRESIDENT AND VICE PRESIDENT","Brock Pierce / Karla Ballard","","0","0","0","0","0","1138410"
"PRESIDENT AND VICE PRESIDENT","Jesse Ventura / Cynthia McKinney","","0","7","0","0","7","1138410"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","MIKE LEVIN","DEM","0","121551","3095","0","124646","211236"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","BRIAN MARYOTT","REP","0","73520","7045","0","80565","211236"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","DARRELL ISSA","REP","0","98905","9218","0","108123","223834"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","AMMAR CAMPA-NAJJAR","DEM","0","106117","2599","0","108716","223834"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN M HIDALGO, JR","REP","0","30899","2574","0","33473","123419"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN C. VARGAS","DEM","0","83685","2400","0","86085","123419"
