Unofficial Election Results
Contest Name,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","1138410"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","211236"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","223834"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","123419"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","306229"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","273692"
"STATE SENATOR 39TH DISTRICT","394513"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","147343"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","126125"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","178108"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","212958"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","194462"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","165671"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","113743"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1138410"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","251866"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","178879"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","230456"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","24097"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","37299"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","29381"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","23583"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","35176"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","64446"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","68096"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT B","367544"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D","367544"
"SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER SEAT NO. 3","148624"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","8430"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","7875"
"CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","8001"
"MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 6","3950"
"OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","10662"
