Unofficial Election Results Update </br> (Outstanding Ballots to be Processed: 305,000) </br> Next Update 11/6/20 After 5PM
Contest Name,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","1327151"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","243901"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","266559"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","148569"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","351295"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","316827"
"STATE SENATOR 39TH DISTRICT","453248"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","179312"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","145840"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","206361"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","241798"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","224855"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","192616"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","136369"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1327151"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","292164"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","211322"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","270581"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","28535"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","46169"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","33214"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","27226"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","41354"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","74424"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","78763"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT B","427399"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D","427399"
"SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER SEAT NO. 3","174486"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","9591"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","8811"
"CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","9037"
"MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 6","5117"
"OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","12983"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","22508"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E","17352"
"RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","16306"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A","427063"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT D","427063"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT E","427063"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","13167"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B","13751"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D","10126"
"VALLEY CENTER-PAUMA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","2851"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1","12768"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","7701"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","15742"
"WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","1064"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","12737"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","13135"
"GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","44860"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","21246"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","20244"
"SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","39514"
"ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","9378"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","11125"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","15657"
"CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER","6669"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","116239"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","116239"
"DEHESA SCHOOL DISTRICT GOVERNING BOARD MEMBER","1175"
"DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","25194"
"ENCINITAS UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","42977"
"ESCONDIDO UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","13132"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","9907"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","8597"
"LAKESIDE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","18532"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER","13019"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER - SHORT TERM","13019"
"NATIONAL SCHOOL DISTRICT GOVERNING BOARD MEMBER","14596"
"RANCHO SANTA FE SCHOOL DISTRICT GOVERNING BOARD MEMBER","3683"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","27977"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","27977"
"SOLANA BEACH SCHOOL DISTRICT GOVERNING BOARD MEMBER","23593"
"SOUTH BAY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","4145"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","207811"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 2","277288"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 3","294680"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 2","15644"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 4","17538"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","29165"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 4","19588"
"CITY OF CORONADO MAYOR","9037"
"CITY OF CORONADO MEMBER, CITY COUNCIL","9037"
"CITY OF DEL MAR MEMBER, CITY COUNCIL","2763"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 2","6318"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 3","9217"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 4","6199"
"CITY OF ENCINITAS MAYOR","35466"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 1","9196"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 2","7948"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 2 - SHORT TERM","15987"
