Unofficial Election Results
Contest Name,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","1200720"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","222582"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","238934"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","128765"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","323050"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","287389"
"STATE SENATOR 39TH DISTRICT","415161"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","157739"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","133852"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","187501"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","222786"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","207153"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","173578"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","118111"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1200720"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","266021"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","185776"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","245048"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","24912"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","40530"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","30787"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","24135"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","36328"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","69611"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","74769"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT B","387410"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D","387410"
"SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER SEAT NO. 3","153341"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","8716"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","8134"
"CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","8439"
"MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 6","4690"
"OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","11774"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","20962"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E","16546"
"RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","15570"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A","387103"
