Final Unofficial Election Night Results <br /> Projected Outstanding Ballots: 85,000 <br /> Next Post 9/23/21 After 5PM
SanDiego
Contest Name,Candidate Name,Party,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1825"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","NO","","603904","27694","0","631598","1825","0","1098782"
"Shall GAVIN NEWSOM be recalled (removed) from the office of Governor?","YES","","404927","59978","0","464905","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","LARRY A. ELDER","REP","275764","49841","0","325605","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN L. FAULCONER","REP","103156","4393","0","107549","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN PAFFRATH","DEM","70794","5495","0","76289","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN COX","REP","27624","2117","0","29741","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","BRANDON M. ROSS","DEM","28581","828","0","29409","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","KEVIN KILEY","REP","13869","1834","0","15703","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JACQUELINE MCGOWAN","DEM","14188","1054","0","15242","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOEL VENTRESCA","DEM","14145","292","0","14437","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DANIEL WATTS","DEM","12933","1472","0","14405","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JOHN R. DRAKE","DEM","7957","1610","0","9567","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ARMANDO ""MANDO"" PEREZ-SERRATO","DEM","6425","1997","0","8422","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","CAITLYN JENNER","REP","7225","391","0","7616","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","HOLLY L. BAADE","DEM","5482","606","0","6088","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","JEFF HEWITT","LIB","4805","617","0","5422","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","PATRICK KILPATRICK","DEM","4869","191","0","5060","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","DAN KAPELOVITZ","GRN","4004","200","0","4204","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ANTHONY TRIMINO","REP","1964","989","0","2953","1825","0","1098782"
"Candidates to succeed GAVIN NEWSOM as Governor if he is recalled:","ANGELYNE","NPP","2373","163","0","2536","1825","0","1098782"
