Unofficial Election Results Update </br> (Outstanding Ballots to be Processed: 43,000) </br> Next Update 11/10/20 After 5PM
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Polls Ballots Votes,Provisional Votes,Total Votes,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","JOSEPH R. BIDEN / KAMALA D. HARRIS","DEM","0","881463","62187","0","943650","1591490"
"PRESIDENT AND VICE PRESIDENT","DONALD J. TRUMP / MICHAEL R. PENCE","REP","0","486575","98339","0","584914","1591490"
"PRESIDENT AND VICE PRESIDENT","ROQUE ""ROCKY"" DE LA FUENTE GUERRA / KANYE OMARI WEST","AI","0","4447","609","0","5056","1591490"
"PRESIDENT AND VICE PRESIDENT","HOWIE HAWKINS / ANGELA NICOLE WALKER","GRN","0","6566","641","0","7207","1591490"
"PRESIDENT AND VICE PRESIDENT","JO JORGENSEN / JEREMY ""SPIKE"" COHEN","LIB","0","18490","2220","0","20710","1591490"
"PRESIDENT AND VICE PRESIDENT","GLORIA LA RIVA / SUNIL FREEMAN","PF","0","2409","331","0","2740","1591490"
"PRESIDENT AND VICE PRESIDENT","Brian Carroll / Amar Patel","","0","92","10","0","102","1591490"
"PRESIDENT AND VICE PRESIDENT","Mark Charles / Adrian Wallace","","0","18","2","0","20","1591490"
"PRESIDENT AND VICE PRESIDENT","Joseph Kishore / Norissa Santa Cruz","","0","16","1","0","17","1591490"
"PRESIDENT AND VICE PRESIDENT","Brock Pierce / Karla Ballard","","0","2","1","0","3","1591490"
"PRESIDENT AND VICE PRESIDENT","Jesse Ventura / Cynthia McKinney","","0","16","1","0","17","1591490"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","MIKE LEVIN","DEM","0","147404","9865","0","157269","288034"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","BRIAN MARYOTT","REP","0","101048","19915","0","120963","288034"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","DARRELL ISSA","REP","0","139976","28138","0","168114","324521"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","AMMAR CAMPA-NAJJAR","DEM","0","134373","10518","0","144891","324521"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN M HIDALGO, JR","REP","0","45173","9610","0","54783","189034"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","JUAN C. VARGAS","DEM","0","115171","12109","0","127280","189034"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","SCOTT PETERS","DEM","0","226958","12780","0","239738","406346"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","JIM DEBELLO","REP","0","127907","21148","0","149055","406346"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","GEORGETTE GÓMEZ","DEM","0","122368","10337","0","132705","383555"
