Unofficial Election Results Update </br> (Outstanding Ballots to be Processed: 135,000) </br> Next Update 11/8/20 After 5PM
Contest Name,Ballots Cast
"PRESIDENT AND VICE PRESIDENT","1502055"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","271870"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","301448"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","174916"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","391745"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","362076"
"STATE SENATOR 39TH DISTRICT","507854"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","204585"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT (SAN DIEGO COUNTY PORTION ONLY)","163557"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","230282"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","268887"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","251795"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","222009"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","160940"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1502055"
"COUNTY BOARD OF EDUCATION 1ST DISTRICT","330179"
"COUNTY BOARD OF EDUCATION 2ND DISTRICT","246821"
"COUNTY BOARD OF EDUCATION 4TH DISTRICT","305633"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 3","32274"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA 4","52185"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","36038"
"MIRACOSTA COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","30398"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","47382"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","82577"
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","89144"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT B","485468"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D","485468"
"SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER SEAT NO. 3","203509"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","10716"
